ID,CPR,name,phone,age,CD4,sex
18584,2010991339,Aage Williams,64578233,40,465,2
17555,1708990748,Aake Bygvraa,67792633,38,653,2
23540,3002044942,Aamund Hvorup,28007795,19,533,2
26594,0109213338,Aaron Quistgaard,38604793,46,384,2
12548,2706793444,Aasa Platou,16997737,31,475,1
26901,0910640177,Aase Boisen,56843696,35,759,1
17317,1112347190,Aasmund Dahl-Madsen,89358911,28,529,2
29346,1708432453,Abbelone Ravning,85907641,39,555,1
28297,1105974063,Abbie Korsgaard,61214178,40,322,1
10771,1511593690,Abbie Kristiansen,47937427,36,436,1
24460,0504432776,Abdul Sandal,70460987,65,638,2
26906,1908960098,Abel Kennedy,80396437,43,645,2
11444,2202366155,Abel Ullerup,48466342,42,433,2
18988,0108042909,Abeline Højer,75066587,27,322,1
11884,2208736841,Abeline Kos,45534577,41,403,1
27382,0312068464,Abeline Lillegaard,45701948,49,629,1
19810,3007827103,Abelone dreng,12777401,53,649,1
27873,3002600901,Absalon Wilhelmsen,79283600,41,378,2
18580,0407346652,Achim Nielsen,85526874,29,466,2
30771,1308534399,Achton Hense,10255573,36,611,2
26585,0101950086,Achton Hvorslev,62202112,41,552,2
28988,1404370255,Achton Nilsen,86118962,32,676,2
14793,2411204312,Acton Chistensdatter,68942333,52,821,2
29703,1508745088,Adam Tandrup,29848188,34,685,2
28885,0105232520,Adane Vintersen,39847174,56,592,1
28831,2502972046,Adda Terkelsen,46270045,27,617,1
13847,2912281274,Addie Breining,65777784,14,460,1
12706,2410297097,Addy Bostedt,28445495,37,732,1
14236,1305521935,Addy Skougaard,75104488,41,400,1
18458,1811165604,Adelfine Bertramsen,89837344,50,413,1
20569,0601264802,Adelheid Quist,86372964,28,693,1
29619,2203822317,Adelina Hogan,95888973,29,368,1
16099,2712108847,Adils Bertelsdatter,97901287,20,441,2
24237,2511695512,Adolf Bruunsgaard,85811008,64,675,2
16035,3106817284,Adolf Tommerup,11753965,26,351,2
25306,2409499659,Adolfe Breining,38504769,48,530,2
23306,2609556553,Adolfe Hillemand,36321044,46,442,2
10990,1507774283,Adolphine Auchter,91865799,48,437,1
10403,2510598580,Adrian Linnet,49963663,23,363,2
31607,0309216735,Adrian Nørkjær,52072505,39,432,2
26018,3001086264,Adriano Horsager,16720190,31,696,2
28363,0307781303,Adriano Nicolajsdatter,41666946,35,358,2
16373,2808100412,Adriano Rønning,71120922,58,302,2
30450,0910104690,Adrienne Gialsbek,34366336,14,560,1
26534,2007660715,Adwan Würst,85739822,49,501,2
31666,1002554570,Ady Steinmeyr,26418098,56,349,1
20462,2811296069,Adèle Fritzner,62529252,36,524,1
29893,2502850700,Adèle Thiesen,53375629,62,685,1
31750,1312705080,Agate Thomsen,25438208,57,432,1
19488,0810668624,Agatha Suhnesen,69339622,25,613,1
24250,2707112731,Agatha Thomasdatter,79755280,57,461,1
22161,1011132261,Agathe Kudsk,28826577,30,317,1
13464,1605844786,Agnar Josphensen,22472244,48,279,2
27976,1809157366,Agne Lunde,21660520,37,531,2
11814,1512699018,Agne Offersen,75012383,42,660,2
24987,1012625993,Agne Tved,60260330,63,440,2
23546,3107483327,Agne Vilborg,97985713,68,358,2
16802,0708274182,Agner Pindgaard,75359102,32,456,2
28592,2305304214,Agneta Basse,47383015,37,594,1
30796,1003189654,Agneta Lütken,53008797,25,668,1
23070,2609575032,Agnetha Ahrenkiel,21342763,50,789,1
31060,0308040167,Ahmed Schultz,83274411,53,517,2
21236,0103843765,Ahrendt Brygger,39658369,20,723,2
16563,1109197437,Aida Borg,43048725,25,479,1
28538,2002340708,Aies Edvardsen,90707151,27,602,2
30418,2410299044,Aies Lundum,72890711,52,529,2
18670,1105788804,Aiko Simmelkær,70565936,51,609,2
23868,1609999875,Aiko povelsen,47074949,64,711,2
20938,1401516393,Aimas Margrethe,45473758,64,539,2
22351,2608252070,Aimas Sloth,57000949,37,385,2
24600,0403280697,Aimi Villumsen,72102969,35,382,1
15438,1507756422,Aino Kimer,21073475,79,510,1
21881,1911794197,Ais Kaspersen,87171405,13,463,2
29608,0109600843,Aishah Rørbæk,62367858,33,345,1
13805,1306770713,Ajes Udesdatter,20339904,33,601,2
23583,0403691315,Ajs Didriksdatter,33740770,45,422,2
19672,0709689614,Akim Michelsdatter,91759620,44,417,2
28925,2202411365,Aksel Christian,98849482,37,337,2
13164,0906756605,Akseline Fisker,38786699,33,414,1
20817,2806847726,Aksinja Bjerring,71462665,43,679,1
10123,0902373692,Aksinja Kloster,51271083,54,482,1
27488,0210601795,Akton Høst,25293708,63,371,2
28153,2105944213,Akton Suurkjer,20954566,18,713,2
26303,1209521358,Akton Tommassen,69831722,56,578,2
27854,2001772986,Al Bohlbro,58639919,55,350,2
15572,1211242278,Al Krigslund,76847588,68,584,2
27840,0601148362,Aladdin Jørgensdatter,78878327,26,418,2
31316,0411716306,Aladdin Leumann,26264266,54,509,2
